id,area,rent_sqft,units,yr_built,lat,lon,low_income,value_imprv_sqft
c10030003,11608,2.36,12,1960,37.8137756826562,-122.254572120461,No,146
c100335,5016,1.66,6,1961,37.7903266525706,-122.231658421429,No,111
c10033809,9141,2.7,13,1943,37.8797736928259,-122.267808228742,No,160
c100364,6744,2,8,1951,37.802324652,-122.231933387,No,120
c10040818,7941,1.77,8,1942,37.8913557838107,-122.264565431087,No,132
c10044358,5693,1.59,8,1953,37.8452230160225,-122.279938296926,No,121
c10052685,191455,3.5,190,2001,37.6342605319035,-122.05428719854,No,392
c10056818,8230,2.43,7,1937,37.8009581116776,-122.251325633672,No,48
c10062957,6807,2.37,10,1958,37.6617066854674,-121.873002698564,No,187
c10075962,5486,1.75,8,1918,37.8605751665753,-122.259422185049,No,186
c10079711,5005,3.59,7,1951,37.5837633788109,-121.993948720328,No,97
c10082261,5153,1.65,6,1934,37.7778606899476,-122.223956536292,No,78
c1013245,9059,2.6,13,1943,37.8746041587107,-122.268124810952,No,97
c1013248,10391,1.53,9,1932,37.8649739640177,-122.264691666457,No,63
c10136772,20400,2.46,14,1984,37.5343103384244,-121.957416086923,No,20
c10137043,333694,2.27,158,2015,37.7054269410959,-121.85905630913,No,16
c10146412,5789,1.86,8,1988,37.8701924306192,-122.298726992228,No,209
c10161280,163023,5.94,125,2015,37.8353345587075,-122.252342364103,No,143
c10169141,6193,1.66,6,1926,37.8792886472472,-122.264996226968,No,136
c10175297,5354,2,5,1913,37.7738485722333,-122.267624912843,No,159
c1017653,11325,1.69,12,1985,37.7412950481122,-122.149070949662,Yes,122
c1017676,7059,1.75,7,1925,37.8642288712264,-122.252256098356,No,84
c1017767,25167,2.2,32,1958,37.8417493375386,-122.281999646874,No,64
c1017895,5419,1.66,6,1942,37.8747264806603,-122.278533248774,No,114
c10190361,23874,2.3,17,1983,37.537886455703,-121.956834314602,No,43
c10191326,7707,1.94,12,1961,37.7049130888991,-122.179068957319,No,46
c1019324,19751,3.06,28,1967,37.8107149010459,-122.253314614199,No,180
c10208015,6834,1.58,9,1958,37.7057811462237,-122.119888529009,No,125
c10216981,7699,1.31,10,1964,37.7312868422491,-122.180207910297,No,71
c10220352,7770,1.3,8,1956,37.7812755426122,-122.218375097738,No,76
c10224841,8932,2.17,8,1940,37.8496728817047,-122.262592320679,No,59
c10227261,727381,4.08,386,2016,37.8281970809183,-122.265483850053,No,13
c10238323,6418,2.64,5,1930,37.8128479519923,-122.240388536957,No,133
c10239724,4185,1.85,6,1932,37.8234991151269,-122.249971197526,No,157
c10241191,3345,1.93,7,1933,37.785379070281,-122.233339437985,No,107
c10245288,5880,1.56,8,1964,37.6623721002464,-122.109358525169,No,66
c10287005,5562,1.47,6,1933,37.7786977152608,-122.217607818468,No,96
c10300318,10060,7.05,20,1998,37.8598697628183,-122.266683552515,No,198
c10302546,43083,4.42,45,2010,37.8283290392683,-122.256634622549,No,72
c10323971,6149,72.36,8,1932,37.8612573995653,-122.241273117746,No,188
c10344563,5923,1.7,6,1965,37.5292120631236,-122.042738246002,No,197
c10348666,3563,2.95,5,1944,37.8730142862318,-122.270449706275,No,173
c10363557,4745,2.32,6,1949,37.6735005065359,-122.091697839891,No,110
c10387576,28911,2.09,11,2012,37.8309573419011,-122.246906810428,No,161
c10429724,3576,2.07,6,1918,37.8124023504657,-122.251248182718,No,38
c104357,10730,1.86,13,1929,37.8655908973421,-122.252520738562,No,85
c1044532,5529,1.85,5,1943,37.6757904493487,-122.085642903039,No,91
c10446155,5802,1.82,7,1960,37.7045436773694,-122.181892879219,No,40
c10452977,5640,1.88,6,1943,37.7649537115735,-122.248957550075,No,67
c10453373,17114,2.16,27,1943,37.7809728130896,-122.236709457318,No,89
c10453560,47699,1.65,35,1922,37.7712121190903,-122.219662138456,No,95
c10453570,82825,2.74,63,1946,37.7695668119715,-122.216587025185,No,39
c10459568,6201,1.85,5,1964,37.7640983419337,-122.254803827668,No,116
c10479088,107646,2.45,104,2007,37.7551002381225,-122.196972944465,No,15
c10481761,6716,2.22,6,1922,37.7678426746059,-122.248698725257,No,59
c10482074,3579,2.76,5,1927,37.8741457416555,-122.272449063636,No,162
c10484984,5565,1.56,7,1943,37.8431750776153,-122.280844726946,No,181
c10489177,14005,1.59,12,1933,37.8367215497831,-122.27851226582,No,45
c10501383,4331,1.8,5,1959,37.8541817252515,-122.280454030938,No,115
c10502415,4261,2.37,7,1921,37.8523102742376,-122.264615155394,Yes,199
c10502905,5776,1.35,6,1913,37.81273992132,-122.256189789114,No,49
c10508931,4847,1.32,6,1950,37.7823858382975,-122.227943763882,Yes,111
c10511722,4295,1.31,7,1954,37.7822405238487,-122.228084708369,Yes,106
c10518394,3952,1.54,5,1957,37.866650826736,-122.283256405666,No,175
c10540388,4546,2.17,6,1933,37.8504793930558,-122.274062302854,No,144
c10547038,4023,1.88,8,1940,37.854233747935,-122.284742840084,No,176
c1054757,42708,2.42,55,1974,37.5487779612915,-121.990005558209,No,139
c1055436,3383,2.28,6,1947,37.8568767913668,-122.262269879865,No,143
c1056282,35918,2.79,34,1969,37.7689914399835,-122.251331210191,No,103
c10568574,3827,1.9,5,1961,37.7047517423168,-122.120257962605,No,122
c10571482,137901,2.58,170,2023,37.6982805139055,-121.716245901028,Yes,9
c10579342,5132,1.93,8,1953,37.860961544118,-122.293473389506,No,169
c10608229,11262,1.98,13,1951,37.7721961176883,-122.218537005596,No,174
c10630574,4620,1.49,5,1947,37.6686341604527,-122.112084134417,No,70
c10656621,5984,2.13,9,1946,37.8716403661612,-122.294494653922,No,114
c10692475,4909,1.53,5,1935,37.780072659212,-122.220059904685,No,77
c10704329,28080,3.84,18,2025,37.8667039360044,-122.301627512335,No,194
c10705082,4615,1.84,6,1939,37.7835537361778,-122.226897107771,No,117
c10717068,47815,2.35,27,2017,37.5353495260266,-121.993979840322,Yes,9
c10728343,7672,1.73,6,2016,37.5864259738626,-122.071419071819,No,6
c10762772,5123,1.99,7,1935,37.8633880964943,-122.277526826501,No,174
c10782318,8453,1.51,5,1962,37.8023087740364,-122.20407644714,No,83
c10795754,5861,2.9,7,1935,37.8744073824452,-122.265603023069,No,46
